                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1171,                 1.3987,                 1.1961,                0.70542,                0.56769,                0.63933,                0.44074,                 1.1408,                 1.1495,                 1.1466,               0.070036,              0.0033293,              0.0033293
                      1,                  1.154,                 1.2873,                 1.2161,                0.62975,                0.50262,                0.55748,                0.36289,                 1.2772,                 1.3561,                 1.2742,                0.03997,              0.0065967,              0.0065967
                      2,                 1.2893,                 1.5093,                  1.301,                 0.5507,                0.44173,                0.46394,                0.28446,                 1.4228,                 1.6334,                 1.3894,              0.0098381,              0.0097981,              0.0097981
                      3,                 1.3816,                 1.6686,                  1.376,                0.56747,                0.44032,                0.47705,                0.29349,                 1.4105,                 1.6124,                 1.3925,               0.009703,               0.009703,               0.009703
                      4,                 1.3549,                 1.6021,                  1.356,                0.58452,                0.45967,                0.49582,                0.30812,                 1.3762,                 1.5438,                 1.3442,               0.009703,               0.009703,               0.009703
                      5,                 1.3206,                 1.5317,                 1.3342,                0.59265,                0.48812,                 0.5244,                0.33188,                 1.3562,                 1.4408,                 1.3281,               0.009604,               0.009604,               0.009604
                      6,                 1.2977,                 1.4968,                 1.3206,                0.62311,                0.48992,                0.54621,                0.35914,                 1.3042,                 1.3886,                 1.2927,               0.009505,               0.009505,               0.009505
                      7,                 1.2753,                 1.4425,                 1.3059,                0.61952,                0.50619,                0.55191,                0.36224,                 1.2773,                 1.3727,                 1.2824,               0.009406,               0.009406,               0.009406
                      8,                   1.25,                 1.4036,                 1.2902,                0.66655,                 0.5084,                0.57804,                0.38249,                 1.2728,                 1.3103,                 1.2743,               0.009307,               0.009307,               0.009307
                      9,                 1.2367,                 1.3746,                 1.2835,                0.66164,                0.51391,                0.57933,                0.38768,                 1.2635,                 1.3068,                  1.269,               0.009208,               0.009208,               0.009208
                     10,                 1.2195,                  1.346,                 1.2694,                0.67565,                0.53633,                0.59883,                0.39761,                 1.2471,                 1.2577,                 1.2585,               0.009109,               0.009109,               0.009109
                     11,                 1.2114,                 1.3177,                 1.2603,                 0.6725,                0.53223,                0.59747,                0.39797,                 1.2323,                 1.2612,                 1.2513,                0.00901,                0.00901,                0.00901
                     12,                 1.2006,                 1.3037,                 1.2565,                0.68097,                0.55368,                0.61378,                0.41236,                 1.2185,                 1.2248,                 1.2406,               0.008911,               0.008911,               0.008911
                     13,                 1.1889,                 1.2836,                 1.2488,                0.68736,                0.55673,                 0.6252,                0.42238,                 1.2069,                 1.1965,                 1.2333,               0.008812,               0.008812,               0.008812
                     14,                 1.1743,                 1.2642,                  1.239,                0.67806,                0.56083,                0.61996,                0.42089,                 1.2002,                 1.1906,                 1.2274,               0.008713,               0.008713,               0.008713
                     15,                 1.1664,                 1.2397,                 1.2374,                0.71037,                0.55546,                0.63232,                0.42569,                 1.1993,                 1.1639,                  1.222,               0.008614,               0.008614,               0.008614
                     16,                 1.1601,                 1.2303,                 1.2274,                0.69547,                 0.5727,                0.64376,                0.43768,                 1.1864,                 1.1516,                 1.2173,               0.008515,               0.008515,               0.008515
                     17,                 1.1598,                 1.2135,                 1.2243,                0.69445,                0.56863,                0.63898,                0.43721,                 1.1851,                 1.1572,                 1.2155,               0.008416,               0.008416,               0.008416
                     18,                  1.143,                 1.1953,                 1.2181,                0.71219,                0.57357,                0.64715,                0.44321,                 1.1704,                 1.1349,                 1.2097,               0.008317,               0.008317,               0.008317
                     19,                 1.1421,                 1.1901,                 1.2204,                0.70376,                0.58059,                0.65641,                0.44981,                 1.1673,                 1.1192,                 1.2062,               0.008218,               0.008218,               0.008218
                     20,                 1.1352,                 1.1791,                 1.2146,                0.69963,                0.58122,                0.65511,                0.44941,                 1.1721,                 1.1152,                 1.2016,               0.008119,               0.008119,               0.008119
                     21,                  1.127,                 1.1698,                 1.2078,                0.71268,                 0.5826,                0.65901,                0.45119,                 1.1599,                 1.1029,                 1.1987,                0.00802,                0.00802,                0.00802
                     22,                 1.1211,                  1.162,                 1.2027,                0.70755,                0.59128,                0.66458,                0.45756,                 1.1513,                 1.0864,                 1.1855,               0.007921,               0.007921,               0.007921
                     23,                 1.1171,                 1.1389,                 1.1987,                0.71457,                0.58956,                0.66217,                0.45587,                 1.1457,                 1.0895,                 1.1883,               0.007822,               0.007822,               0.007822
